config_id,input_file,base_encoding,run_number,cost_1,cost_2,elapsed_time,best_model_time,model_count,result_status,timed_out
1,../scripts/input/days_1/input1.lp,../scripts/original_encoding.lp,1,5,21,10.015,1.7466,56,TIMEOUT,True
2,../scripts/input/days_1/input1.lp,../scripts/optimized_encoding.lp,1,5,21,10.0132,1.729,56,TIMEOUT,True
3,../scripts/input/days_1/input1.lp,../scripts/original_encoding_plus_heuristic.lp,1,2,25,10.0146,1.9928,57,TIMEOUT,True
4,../scripts/input/days_1/input1.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,2,25,10.0144,1.8893,57,TIMEOUT,True
5,../scripts/input/days_1/input10.lp,../scripts/original_encoding.lp,1,5,23,10.0138,3.5172,34,TIMEOUT,True
6,../scripts/input/days_1/input10.lp,../scripts/optimized_encoding.lp,1,5,23,10.0144,3.4632,34,TIMEOUT,True
7,../scripts/input/days_1/input10.lp,../scripts/original_encoding_plus_heuristic.lp,1,5,23,10.0072,3.2754,39,TIMEOUT,True
8,../scripts/input/days_1/input10.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,5,23,10.0139,3.1612,39,TIMEOUT,True
9,../scripts/input/days_1/input2.lp,../scripts/original_encoding.lp,1,9,15,10.016,9.0483,59,TIMEOUT,True
10,../scripts/input/days_1/input2.lp,../scripts/optimized_encoding.lp,1,9,15,10.0152,8.8957,59,TIMEOUT,True
11,../scripts/input/days_1/input2.lp,../scripts/original_encoding_plus_heuristic.lp,1,9,16,10.0141,9.7128,65,TIMEOUT,True
12,../scripts/input/days_1/input2.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,9,16,10.01,9.7037,65,TIMEOUT,True
13,../scripts/input/days_1/input3.lp,../scripts/original_encoding.lp,1,6,18,10.0112,1.1206,49,TIMEOUT,True
14,../scripts/input/days_1/input3.lp,../scripts/optimized_encoding.lp,1,6,18,10.0156,1.0852,49,TIMEOUT,True
15,../scripts/input/days_1/input3.lp,../scripts/original_encoding_plus_heuristic.lp,1,4,20,10.0058,5.1009,59,TIMEOUT,True
16,../scripts/input/days_1/input3.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,4,20,10.014,4.9817,59,TIMEOUT,True
17,../scripts/input/days_1/input4.lp,../scripts/original_encoding.lp,1,2,22,10.0139,4.2886,52,TIMEOUT,True
18,../scripts/input/days_1/input4.lp,../scripts/optimized_encoding.lp,1,2,22,10.0146,4.2935,52,TIMEOUT,True
19,../scripts/input/days_1/input4.lp,../scripts/original_encoding_plus_heuristic.lp,1,2,22,10.0068,3.1128,60,TIMEOUT,True
20,../scripts/input/days_1/input4.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,2,22,10.0143,3.0526,60,TIMEOUT,True
21,../scripts/input/days_1/input5.lp,../scripts/original_encoding.lp,1,1,21,10.0147,1.1301,38,TIMEOUT,True
22,../scripts/input/days_1/input5.lp,../scripts/optimized_encoding.lp,1,1,21,10.0144,1.1626,38,TIMEOUT,True
23,../scripts/input/days_1/input5.lp,../scripts/original_encoding_plus_heuristic.lp,1,1,21,10.0146,4.0972,41,TIMEOUT,True
24,../scripts/input/days_1/input5.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,1,21,10.0138,4.0727,41,TIMEOUT,True
25,../scripts/input/days_1/input6.lp,../scripts/original_encoding.lp,1,4,22,10.0163,5.8385,58,TIMEOUT,True
26,../scripts/input/days_1/input6.lp,../scripts/optimized_encoding.lp,1,4,22,10.0158,5.6852,58,TIMEOUT,True
27,../scripts/input/days_1/input6.lp,../scripts/original_encoding_plus_heuristic.lp,1,4,22,10.0145,5.5341,54,TIMEOUT,True
28,../scripts/input/days_1/input6.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,4,22,10.0138,5.489,54,TIMEOUT,True
29,../scripts/input/days_1/input7.lp,../scripts/original_encoding.lp,1,2,25,10.0148,1.9377,33,TIMEOUT,True
30,../scripts/input/days_1/input7.lp,../scripts/optimized_encoding.lp,1,2,25,10.0122,1.9511,33,TIMEOUT,True
31,../scripts/input/days_1/input7.lp,../scripts/original_encoding_plus_heuristic.lp,1,2,25,10.0127,4.374,57,TIMEOUT,True
32,../scripts/input/days_1/input7.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,2,25,10.014,4.3245,57,TIMEOUT,True
33,../scripts/input/days_1/input8.lp,../scripts/original_encoding.lp,1,9,15,10.0153,6.0292,51,TIMEOUT,True
34,../scripts/input/days_1/input8.lp,../scripts/optimized_encoding.lp,1,9,15,10.0148,6.0465,51,TIMEOUT,True
35,../scripts/input/days_1/input8.lp,../scripts/original_encoding_plus_heuristic.lp,1,8,17,10.014,9.4561,51,TIMEOUT,True
36,../scripts/input/days_1/input8.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,8,16,10.0141,9.9217,52,TIMEOUT,True
37,../scripts/input/days_1/input9.lp,../scripts/original_encoding.lp,1,7,18,10.0144,7.7162,41,TIMEOUT,True
38,../scripts/input/days_1/input9.lp,../scripts/optimized_encoding.lp,1,7,18,10.0134,7.7312,41,TIMEOUT,True
39,../scripts/input/days_1/input9.lp,../scripts/original_encoding_plus_heuristic.lp,1,6,20,10.0138,3.1545,37,TIMEOUT,True
40,../scripts/input/days_1/input9.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,6,20,10.0097,3.0708,37,TIMEOUT,True
41,../scripts/input/days_2/input1.lp,../scripts/original_encoding.lp,1,22,28,10.0224,6.8758,99,TIMEOUT,True
42,../scripts/input/days_2/input1.lp,../scripts/optimized_encoding.lp,1,22,28,10.0202,6.8057,99,TIMEOUT,True
43,../scripts/input/days_2/input1.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0222,,0,TIMEOUT,True
44,../scripts/input/days_2/input1.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.02,,0,TIMEOUT,True
45,../scripts/input/days_2/input10.lp,../scripts/original_encoding.lp,1,9,40,10.0194,7.1086,64,TIMEOUT,True
46,../scripts/input/days_2/input10.lp,../scripts/optimized_encoding.lp,1,9,40,10.0182,7.0137,64,TIMEOUT,True
47,../scripts/input/days_2/input10.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0174,,0,TIMEOUT,True
48,../scripts/input/days_2/input10.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0203,,0,TIMEOUT,True
49,../scripts/input/days_2/input2.lp,../scripts/original_encoding.lp,1,8,46,10.0184,4.2638,59,TIMEOUT,True
50,../scripts/input/days_2/input2.lp,../scripts/optimized_encoding.lp,1,8,46,10.0187,4.0991,59,TIMEOUT,True
51,../scripts/input/days_2/input2.lp,../scripts/original_encoding_plus_heuristic.lp,1,50,57,10.0208,9.963,7,TIMEOUT,True
52,../scripts/input/days_2/input2.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,40,22,10.0204,9.9408,54,TIMEOUT,True
53,../scripts/input/days_2/input3.lp,../scripts/original_encoding.lp,1,14,42,10.0198,2.7596,62,TIMEOUT,True
54,../scripts/input/days_2/input3.lp,../scripts/optimized_encoding.lp,1,14,42,10.0183,2.6451,62,TIMEOUT,True
55,../scripts/input/days_2/input3.lp,../scripts/original_encoding_plus_heuristic.lp,1,18,42,10.0211,9.3972,59,TIMEOUT,True
56,../scripts/input/days_2/input3.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,18,42,10.0226,9.2083,59,TIMEOUT,True
57,../scripts/input/days_2/input4.lp,../scripts/original_encoding.lp,1,7,46,10.0196,1.612,64,TIMEOUT,True
58,../scripts/input/days_2/input4.lp,../scripts/optimized_encoding.lp,1,7,46,10.0191,1.6067,64,TIMEOUT,True
59,../scripts/input/days_2/input4.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0218,,0,TIMEOUT,True
60,../scripts/input/days_2/input4.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,51,54,10.0203,9.9621,13,TIMEOUT,True
61,../scripts/input/days_2/input5.lp,../scripts/original_encoding.lp,1,12,40,10.018,9.0331,71,TIMEOUT,True
62,../scripts/input/days_2/input5.lp,../scripts/optimized_encoding.lp,1,12,40,10.0178,9.0209,71,TIMEOUT,True
63,../scripts/input/days_2/input5.lp,../scripts/original_encoding_plus_heuristic.lp,1,13,43,10.0217,9.9177,62,TIMEOUT,True
64,../scripts/input/days_2/input5.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,13,43,10.0208,9.7136,62,TIMEOUT,True
65,../scripts/input/days_2/input6.lp,../scripts/original_encoding.lp,1,22,28,10.0219,9.709,98,TIMEOUT,True
66,../scripts/input/days_2/input6.lp,../scripts/optimized_encoding.lp,1,22,28,10.0147,9.4853,98,TIMEOUT,True
67,../scripts/input/days_2/input6.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.022,,0,TIMEOUT,True
68,../scripts/input/days_2/input6.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.016,,0,TIMEOUT,True
69,../scripts/input/days_2/input7.lp,../scripts/original_encoding.lp,1,15,42,10.0213,9.8088,106,TIMEOUT,True
70,../scripts/input/days_2/input7.lp,../scripts/optimized_encoding.lp,1,15,42,10.0203,9.7268,106,TIMEOUT,True
71,../scripts/input/days_2/input7.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0222,,0,TIMEOUT,True
72,../scripts/input/days_2/input7.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0206,,0,TIMEOUT,True
73,../scripts/input/days_2/input8.lp,../scripts/original_encoding.lp,1,13,36,10.0222,9.9522,107,TIMEOUT,True
74,../scripts/input/days_2/input8.lp,../scripts/optimized_encoding.lp,1,13,36,10.0216,9.8923,107,TIMEOUT,True
75,../scripts/input/days_2/input8.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0227,,0,TIMEOUT,True
76,../scripts/input/days_2/input8.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0189,,0,TIMEOUT,True
77,../scripts/input/days_2/input9.lp,../scripts/original_encoding.lp,1,8,40,10.0198,4.7781,64,TIMEOUT,True
78,../scripts/input/days_2/input9.lp,../scripts/optimized_encoding.lp,1,8,40,10.0189,4.7142,64,TIMEOUT,True
79,../scripts/input/days_2/input9.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0217,,0,TIMEOUT,True
80,../scripts/input/days_2/input9.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0213,,0,TIMEOUT,True
81,../scripts/input/days_3/input1.lp,../scripts/original_encoding.lp,1,21,58,10.0196,5.436,98,TIMEOUT,True
82,../scripts/input/days_3/input1.lp,../scripts/optimized_encoding.lp,1,21,58,10.0221,5.3039,98,TIMEOUT,True
83,../scripts/input/days_3/input1.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0249,,0,TIMEOUT,True
84,../scripts/input/days_3/input1.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0175,,0,TIMEOUT,True
85,../scripts/input/days_3/input10.lp,../scripts/original_encoding.lp,1,18,63,10.0238,5.9737,91,TIMEOUT,True
86,../scripts/input/days_3/input10.lp,../scripts/optimized_encoding.lp,1,18,63,10.0228,5.6989,91,TIMEOUT,True
87,../scripts/input/days_3/input10.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0246,,0,TIMEOUT,True
88,../scripts/input/days_3/input10.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0173,,0,TIMEOUT,True
89,../scripts/input/days_3/input2.lp,../scripts/original_encoding.lp,1,23,54,10.0289,5.3724,97,TIMEOUT,True
90,../scripts/input/days_3/input2.lp,../scripts/optimized_encoding.lp,1,23,54,10.0315,4.8385,97,TIMEOUT,True
91,../scripts/input/days_3/input2.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0263,,0,TIMEOUT,True
92,../scripts/input/days_3/input2.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0183,,0,TIMEOUT,True
93,../scripts/input/days_3/input3.lp,../scripts/original_encoding.lp,1,12,72,10.0245,3.9045,84,TIMEOUT,True
94,../scripts/input/days_3/input3.lp,../scripts/optimized_encoding.lp,1,12,72,10.0244,3.7157,84,TIMEOUT,True
95,../scripts/input/days_3/input3.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0241,,0,TIMEOUT,True
96,../scripts/input/days_3/input3.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0167,,0,TIMEOUT,True
97,../scripts/input/days_3/input4.lp,../scripts/original_encoding.lp,1,36,40,10.0275,8.4042,101,TIMEOUT,True
98,../scripts/input/days_3/input4.lp,../scripts/optimized_encoding.lp,1,36,40,10.0256,8.2205,101,TIMEOUT,True
99,../scripts/input/days_3/input4.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0193,,0,TIMEOUT,True
100,../scripts/input/days_3/input4.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0184,,0,TIMEOUT,True
101,../scripts/input/days_3/input5.lp,../scripts/original_encoding.lp,1,41,41,10.0267,9.2448,107,TIMEOUT,True
102,../scripts/input/days_3/input5.lp,../scripts/optimized_encoding.lp,1,41,41,10.0248,9.0436,107,TIMEOUT,True
103,../scripts/input/days_3/input5.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0253,,0,TIMEOUT,True
104,../scripts/input/days_3/input5.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.018,,0,TIMEOUT,True
105,../scripts/input/days_3/input6.lp,../scripts/original_encoding.lp,1,8,70,10.0253,9.8464,96,TIMEOUT,True
106,../scripts/input/days_3/input6.lp,../scripts/optimized_encoding.lp,1,7,70,10.0237,9.9006,97,TIMEOUT,True
107,../scripts/input/days_3/input6.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0237,,0,TIMEOUT,True
108,../scripts/input/days_3/input6.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0185,,0,TIMEOUT,True
109,../scripts/input/days_3/input7.lp,../scripts/original_encoding.lp,1,51,33,10.0272,8.8746,108,TIMEOUT,True
110,../scripts/input/days_3/input7.lp,../scripts/optimized_encoding.lp,1,51,33,10.0246,8.4497,108,TIMEOUT,True
111,../scripts/input/days_3/input7.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0255,,0,TIMEOUT,True
112,../scripts/input/days_3/input7.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0167,,0,TIMEOUT,True
113,../scripts/input/days_3/input8.lp,../scripts/original_encoding.lp,1,49,27,10.0279,9.5935,128,TIMEOUT,True
114,../scripts/input/days_3/input8.lp,../scripts/optimized_encoding.lp,1,49,27,10.0251,9.1879,128,TIMEOUT,True
115,../scripts/input/days_3/input8.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0255,,0,TIMEOUT,True
116,../scripts/input/days_3/input8.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0176,,0,TIMEOUT,True
117,../scripts/input/days_3/input9.lp,../scripts/original_encoding.lp,1,36,34,10.0255,6.8097,109,TIMEOUT,True
118,../scripts/input/days_3/input9.lp,../scripts/optimized_encoding.lp,1,36,34,10.0229,6.4335,109,TIMEOUT,True
119,../scripts/input/days_3/input9.lp,../scripts/original_encoding_plus_heuristic.lp,1,,,10.0256,,0,TIMEOUT,True
120,../scripts/input/days_3/input9.lp,../scripts/optimized_encoding_plus_heuristic.lp,1,,,10.0167,,0,TIMEOUT,True
121,../scripts/input/days_5/input1.lp,../scripts/original_encoding.lp,1,121,35,10.0413,9.582,127,TIMEOUT,True
